LMB1D_IDcu,LMB1D_IDor,LMB1D_area,LMB3A_IDcu,LMB3A_Area,Area
127,351,86254917,91,605207306,24943377
127,351,86254917,65,2681638212,61311772
128,352,42456686,65,2681638212,42302966
129,442,86713681,17,61807279,589279
129,442,86713681,22,130961215,37551020
129,442,86713681,19,85325172,44377523
129,442,86713681,26,96823823,551762
129,442,86713681,23,235207937,3649723
130,441,86713681,17,61807279,1161862
130,441,86713681,22,130961215,8555753
130,441,86713681,19,85325172,2238691
130,441,86713681,26,96823823,67140822
130,441,86713681,28,72584406,129
130,441,86713681,45,100002324,7750
130,441,86713681,86,75355306,7659935
131,440,86713681,26,96823823,16474416
131,440,86713681,28,72584406,38099821
131,440,86713681,45,100002324,10103757
131,440,86713681,85,57181036,5582320
131,440,86713681,86,75355306,16452019
132,444,86713681,13,79286128,7939762
132,444,86713681,23,235207937,33483721
132,444,86713681,40,570630459,12896079
132,444,86713681,61,146515818,32494611
133,443,86713681,22,130961215,4370870
133,443,86713681,19,85325172,4505751
133,443,86713681,13,79286128,22129353
133,443,86713681,23,235207937,55741058
133,443,86713681,61,146515818,14931
134,439,86713681,3,23599862,88998
134,439,86713681,15,36526687,21406
134,439,86713681,11,33136114,28396875
134,439,86713681,26,96823823,3844049
134,439,86713681,28,72584406,27122910
134,439,86713681,50,94169135,5980287
134,439,86713681,54,23577827,6454567
134,439,86713681,66,24904263,11505487
134,439,86713681,60,14150610,740642
134,439,86713681,85,57181036,2532859
135,438,86713681,1,45581103,12151990
135,438,86713681,3,23599862,12254838
135,438,86713681,15,36526687,28001089
135,438,86713681,11,33136114,4739239
135,438,86713681,30,38300433,15409571
135,438,86713681,50,94169135,586317
135,438,86713681,66,24904263,13398776
135,438,86713681,60,14150610,65584
135,438,86713681,95,57551697,137147
136,437,86713681,92,41129359,4115192
136,437,86713681,1,45581103,17368673
136,437,86713681,3,23599862,22141
136,437,86713681,30,38300433,20183684
136,437,86713681,44,40058863,27352720
136,437,86713681,95,57551697,5719428
136,437,86713681,96,42828625,11906749
137,436,86713681,92,41129359,1161389
137,436,86713681,52,71220826,12199001
137,436,86713681,44,40058863,11501557
137,436,86713681,63,94150473,1365526
137,436,86713681,83,71337154,33520028
137,436,86713681,96,42828625,26981413
138,435,86713681,38,158915449,3717878
138,435,86713681,52,71220826,13571340
138,435,86713681,42,124155511,301059
138,435,86713681,62,47600798,10809534
138,435,86713681,83,71337154,26219022
138,435,86713681,78,32016491,32009993
139,434,86713681,38,158915449,14035123
139,434,86713681,24,201681002,24854264
139,434,86713681,27,60748599,10862929
139,434,86713681,52,71220826,49965
139,434,86713681,42,124155511,161524
139,434,86713681,62,47600798,36791265
140,433,50776114,38,158915449,5389159
140,433,50776114,24,201681002,42261040
140,433,50776114,27,60748599,2827805
141,445,86713681,39,418791245,6895683
141,445,86713681,40,570630459,1138411
141,445,86713681,61,146515818,77853638
141,445,86713681,80,366895138,336245
141,445,86713681,87,144488243,472413
142,446,86713681,39,418791245,16866
142,446,86713681,61,146515818,27185276
142,446,86713681,80,366895138,22778709
142,446,86713681,87,144488243,36745423
143,447,86713681,53,103778518,49375891
143,447,86713681,80,366895138,18721780
143,447,86713681,87,144488243,18414539
144,448,86713681,47,215746183,43980658
144,448,86713681,53,103778518,38215984
144,448,86713681,70,112669234,4221771
144,448,86713681,82,40052465,110679
145,449,86713681,93,156933002,16349961
145,449,86713681,47,215746183,67374885
145,449,86713681,70,112669234,1080138
145,449,86713681,82,40052465,1909948
146,399,14869743,24,201681002,1342028
146,399,14869743,67,218545247,13380770
147,400,80374684,24,201681002,73598805
147,400,80374684,27,60748599,374674
147,400,80374684,67,218545247,6160414
148,450,86713681,88,415056253,53819892
148,450,86713681,93,156933002,25744118
148,450,86713681,47,215746183,7173179
149,451,86713681,88,415056253,86713681
150,452,75540634,88,415056253,75356341
151,401,86561030,16,144757280,1449163
151,401,86561030,24,201681002,34359666
151,401,86561030,27,60748599,45493387
151,401,86561030,42,124155511,5261309
152,402,86561030,27,60748599,643580
152,402,86561030,42,124155511,79922070
152,402,86561030,83,71337154,5942170
153,403,86561030,42,124155511,22404496
153,403,86561030,63,94150473,53125129
153,403,86561030,83,71337154,5655934
153,403,86561030,95,57551697,1697439
153,403,86561030,96,42828625,3714016
154,404,86561030,30,38300433,2675551
154,404,86561030,49,82526286,31132317
154,404,86561030,63,94150473,11749181
154,404,86561030,95,57551697,40796016
154,404,86561030,96,42828625,226446
155,405,86561030,15,36526687,7210857
155,405,86561030,30,38300433,31628
155,405,86561030,49,82526286,25447155
155,405,86561030,50,94169135,530259
155,405,86561030,58,175782618,687094
155,405,86561030,71,62755671,43404347
155,405,86561030,95,57551697,9201667
156,406,86561030,15,36526687,1293334
156,406,86561030,28,72584406,3133701
156,406,86561030,50,94169135,62223199
156,406,86561030,45,100002324,1192334
156,406,86561030,71,62755671,18797362
157,407,86561030,33,180195539,6112789
157,407,86561030,26,96823823,36397
157,407,86561030,28,72584406,4227844
157,407,86561030,50,94169135,5928607
157,407,86561030,45,100002324,70302593
158,408,86561030,17,61807279,11752151
158,408,86561030,19,85325172,995820
158,408,86561030,33,180195539,46917255
158,408,86561030,26,96823823,8776377
158,408,86561030,45,100002324,18095323
